Unnamed: 0,Unnamed: 0.1,RA_deg,DEC_deg,coord_ra,coord_dec,object,Field,ccdnum,MJDObs,Obs,AIRMASS,SEEING,EXPTIME,base_PsfFlux_flux,base_PsfFlux_fluxSigma
159838,159838,308.5262087940985,-39.70205745922063,5.384798172152503,-0.6929316224793743,1052,1,24,57993.08775316,2.0,1.03,1.9509999999999998,240.0,579.2287577731151,91.92306454936205
159839,159839,308.52757199844365,-39.7835916486381,5.384821964556704,-0.6943546625376539,1053,1,24,57992.10106363,1.0,1.02,2.364,240.0,862.3713086579796,77.82794606854759
159840,159840,308.52753165281865,-39.78355936099504,5.384821260392709,-0.694354099011975,1053,1,24,57993.08775316,2.0,1.03,1.9509999999999998,240.0,1008.9767063695576,91.77863968877226
159841,159841,308.52750047136806,-39.783554599042354,5.38482071617373,-0.6943540159002216,1053,1,24,57996.12773527,3.0,1.02,2.522,240.0,1181.89969493499,162.11264661717144
159842,159842,308.5280886580322,-39.81512288396043,5.384830981967634,-0.6949049864112498,1054,1,24,57992.10106363,1.0,1.02,2.364,240.0,1277.0215240901994,79.18323711762945
159843,159843,308.5281124595589,-39.81514427355413,5.3848313973826425,-0.6949053597300855,1054,1,24,57993.08775316,2.0,1.03,1.9509999999999998,240.0,1205.7124437086322,92.78821959282905
159844,159844,308.52818701455624,-39.81510086548956,5.38483269861282,-0.6949046021164367,1054,1,24,57996.12773527,3.0,1.02,2.522,240.0,1180.6577711850475,162.3715426064291
159845,159845,308.5282130189641,-39.82441516134214,5.384833152475358,-0.6950671672465689,1055,1,24,57992.10106363,1.0,1.02,2.364,240.0,525.8980419529069,77.41396339815202
159846,159846,308.5282807707372,-39.824440553473075,5.384834334966872,-0.6950676104228583,1055,1,24,57993.08775316,2.0,1.03,1.9509999999999998,240.0,628.8111043758222,91.91376202840272
159847,159847,308.52815983710593,-39.79487483045476,5.38483222427683,-0.6945515912104557,1056,1,24,57992.10106363,1.0,1.02,2.364,240.0,2037.4662787461086,80.47801296940871
159848,159848,308.5281651525215,-39.79489654333233,5.384832317048334,-0.6945519701716594,1056,1,24,57993.08775316,2.0,1.03,1.9509999999999998,240.0,2036.5108072382466,93.86440424359614
159849,159849,308.5281722525241,-39.79490057792261,5.384832440966754,-0.6945520405885436,1056,1,24,57996.12773527,3.0,1.02,2.522,240.0,1758.1345017101196,163.1771885217911
159850,159850,308.5295698471425,-39.81297319024237,5.384856833594455,-0.6948674671779602,1057,1,24,57992.10106363,1.0,1.02,2.364,240.0,315723.95085173164,361.8868616549243
159851,159851,308.52956949773505,-39.81297423748372,5.384856827496144,-0.6948674854557696,1057,1,24,57993.08775316,2.0,1.03,1.9509999999999998,240.0,314038.93111706147,365.52087338324515
159852,159852,308.5295720059922,-39.8129768181281,5.38485687127349,-0.6948675304965111,1057,1,24,57996.12773527,3.0,1.02,2.522,240.0,313045.5059631705,388.6910727016373
159853,159853,308.5290142275134,-39.79960908018471,5.384847136202538,-0.694634219455855,1058,1,24,57992.10106363,1.0,1.02,2.364,240.0,6305.8397520393555,90.38260393052636
159854,159854,308.52901294882383,-39.799599095903176,5.384847113885195,-0.6946340451972688,1058,1,24,57993.08775316,2.0,1.03,1.9509999999999998,240.0,6273.017139481756,103.03272927423788
159855,159855,308.5290265960532,-39.79960640010343,5.384847352074281,-0.6946341726796125,1058,1,24,57996.12773527,3.0,1.02,2.522,240.0,6167.745549267722,169.13695675744037
159856,159856,308.52870680211464,-39.75064892273687,5.384841770617125,-0.6937797035060954,1059,1,24,57992.10106363,1.0,1.02,2.364,240.0,7509.739512120534,92.85886861340984
159857,159857,308.5287032252036,-39.75064703868683,5.384841708188251,-0.6937796706232189,1059,1,24,57993.08775316,2.0,1.03,1.9509999999999998,240.0,7621.642683500008,105.1547660305508
159858,159858,308.52871144412916,-39.750659627670494,5.384841851635564,-0.6937798903424333,1059,1,24,57996.12773527,3.0,1.02,2.522,240.0,7842.609959224776,170.78626919752887
159859,159859,308.52844797460637,-39.7331945487746,5.384837253224911,-0.6934750672115794,1060,1,24,57992.10106363,1.0,1.02,2.364,240.0,1162.374135655713,78.32435410580892
159860,159860,308.5284278295436,-39.733163522953774,5.384836901627238,-0.6934745257088528,1060,1,24,57993.08775316,2.0,1.03,1.9509999999999998,240.0,1230.0804538019133,92.68128377535672
159861,159861,308.5285300287545,-39.733222039987176,5.384838685339962,-0.6934755470237541,1060,1,24,57996.12773527,3.0,1.02,2.522,240.0,1234.4149535165045,163.1762640563529
159862,159862,308.5290393471166,-39.75366633881722,5.384847574622321,-0.6938323673516001,1061,1,24,57992.10106363,1.0,1.02,2.364,240.0,4437.589307739156,86.04842308784524
159863,159863,308.5290492965181,-39.75366610702915,5.384847748272136,-0.6938323633061353,1061,1,24,57993.08775316,2.0,1.03,1.9509999999999998,240.0,4394.425645647954,99.3724934180812
159864,159864,308.5290606436039,-39.75366159846502,5.384847946316143,-0.6938322846168465,1061,1,24,57996.12773527,3.0,1.02,2.522,240.0,4113.806577893728,166.12603558202576
159865,159865,308.52964713899223,-39.79333518055285,5.384858182591717,-0.6945247192503392,1062,1,24,57992.10106363,1.0,1.02,2.364,240.0,3211.8393950136056,81.92787481921006
159866,159866,308.5296348320171,-39.79331873656348,5.38485796779448,-0.6945244322485827,1062,1,24,57993.08775316,2.0,1.03,1.9509999999999998,240.0,3195.4070303014264,95.39456142251845
159867,159867,308.5296577420132,-39.7933515922496,5.384858367649344,-0.6945250056884835,1062,1,24,57996.12773527,3.0,1.02,2.522,240.0,3269.065755863438,164.77678126645642
159868,159868,308.5295313569785,-39.80639276329345,5.384856161814363,-0.6947526170615144,1065,1,24,57992.10106363,1.0,1.02,2.364,240.0,806.4160688229723,77.6145715339418
159869,159869,308.5294478776292,-39.806392595206255,5.3848547048248605,-0.6947526141278396,1065,1,24,57993.08775316,2.0,1.03,1.9509999999999998,240.0,843.376038575641,91.59005492627013
159870,159870,308.529258973373,-39.69318612081472,5.384851407823619,-0.6927767884151326,1066,1,24,57992.10106363,1.0,1.02,2.364,240.0,590014.103096805,497.45149980335884
159871,159871,308.52925970681997,-39.69318469885489,5.384851420624684,-0.6927767635972517,1066,1,24,57993.08775316,2.0,1.03,1.9509999999999998,240.0,588624.5882365203,488.98203100022505
159872,159872,308.5292751565813,-39.69317014956311,5.384851690273887,-0.6927765096642063,1066,1,24,57996.12773527,3.0,1.02,2.522,240.0,582406.3072584587,516.8485757805107
159873,159873,308.5287263880984,-39.73042948300032,5.3848421124570285,-0.6934268077097842,1067,1,24,57992.10106363,1.0,1.02,2.364,240.0,781.1593987943357,77.64154142749958
159874,159874,308.52879049965725,-39.73041414723814,5.38484323141482,-0.6934265400502407,1067,1,24,57993.08775316,2.0,1.03,1.9509999999999998,240.0,900.5160121166435,92.00011810249676
159875,159875,308.52873038619254,-39.730449072608536,5.384842182236935,-0.6934271496129466,1067,1,24,57996.12773527,3.0,1.02,2.522,240.0,1086.7485908810877,163.1618179548194
159876,159876,308.5294640715547,-39.77827852982941,5.3848549874621785,-0.6942619311208926,1068,1,24,57992.10106363,1.0,1.02,2.364,240.0,1274.4068131008255,78.7080735743803
159877,159877,308.52950049415614,-39.778264918614866,5.384855623156496,-0.6942616935603838,1068,1,24,57993.08775316,2.0,1.03,1.9509999999999998,240.0,1427.877560797751,92.78517158893816
159878,159878,308.52943931198297,-39.77835153070925,5.3848545553261316,-0.6942632052266026,1068,1,24,57996.12773527,3.0,1.02,2.522,240.0,1234.981816366258,162.77456320958285
159879,159879,308.5293937853758,-39.68836414432515,5.384853760736939,-0.6926926290489358,1069,1,24,57992.10106363,1.0,1.02,2.364,240.0,53294.40382886825,162.5794883052384
159880,159880,308.5293942219684,-39.68836395666345,5.384853768356917,-0.6926926257736213,1069,1,24,57993.08775316,2.0,1.03,1.9509999999999998,240.0,54023.72034619576,170.7467962003656
159881,159881,308.52939130552915,-39.68836847732444,5.384853717455448,-0.6926927046740399,1069,1,24,57996.12773527,3.0,1.02,2.522,240.0,53375.493606332464,216.6847409440027
159882,159882,308.52986747224924,-39.76646521492989,5.384862028132504,-0.694055749880321,1070,1,24,57992.10106363,1.0,1.02,2.364,240.0,825.2771170738886,77.72806495832684
159883,159883,308.52978314791943,-39.76639825572424,5.384860556395309,-0.694054581221718,1070,1,24,57993.08775316,2.0,1.03,1.9509999999999998,240.0,708.0559353365265,91.50493009248746
159884,159884,308.5299285419349,-39.76640382569343,5.384863093999591,-0.6940546784360196,1070,1,24,57996.12773527,3.0,1.02,2.522,240.0,1076.607727166933,162.3300643852881
159885,159885,308.52881696338983,-39.68471197061621,5.384843693294086,-0.6926288865928599,1071,1,24,57992.10106363,1.0,1.02,2.364,240.0,597.7277601783181,77.3932617130327
159886,159886,308.5286925987781,-39.684725918241355,5.384841522722138,-0.6926291300248416,1071,1,24,57993.08775316,2.0,1.03,1.9509999999999998,240.0,642.0071851570632,92.12996965036524
159887,159887,308.5293297124195,-39.697608937543094,5.3848526424528895,-0.692853981129255,1072,1,24,57992.10106363,1.0,1.02,2.364,240.0,973.6907269468976,77.93056036706943
159888,159888,308.52927019563754,-39.69761571645561,5.384851603689084,-0.6928540994435981,1072,1,24,57993.08775316,2.0,1.03,1.9509999999999998,240.0,715.0456891099702,91.43665585274643
159889,159889,308.52936548848874,-39.69755178484032,5.384853266863091,-0.692852983626415,1072,1,24,57996.12773527,3.0,1.02,2.522,240.0,1200.5728447449565,163.52583722276657
159890,159890,308.5301719653685,-39.76011363682872,5.384867342539984,-0.6939448939297581,1073,1,24,57992.10106363,1.0,1.02,2.364,240.0,3843.924081023806,84.9634483899903
159891,159891,308.53017623294477,-39.760118059907434,5.3848674170232425,-0.6939449711270448,1073,1,24,57993.08775316,2.0,1.03,1.9509999999999998,240.0,3693.730750318769,97.64207017052004
159892,159892,308.53016946817553,-39.760113912429816,5.384867298955745,-0.6939448987399046,1073,1,24,57996.12773527,3.0,1.02,2.522,240.0,3871.4581892536817,166.24064986264847
159893,159893,308.5302981344204,-39.742241777951584,5.384869544605354,-0.6936329711489002,1074,1,24,57992.10106363,1.0,1.02,2.364,240.0,2209.869499868892,81.19720614756255
159894,159894,308.5302562435616,-39.74224898344127,5.384868813471942,-0.6936330969084196,1074,1,24,57993.08775316,2.0,1.03,1.9509999999999998,240.0,2152.360887258928,94.6312465920785
159895,159895,308.5302873314086,-39.742218287997325,5.384869356057229,-0.6936325611718573,1074,1,24,57996.12773527,3.0,1.02,2.522,240.0,1933.8905399437353,163.93600248295968
159896,159896,308.52971172339426,-39.68644195011518,5.384859309802178,-0.6926590804311091,1075,1,24,57992.10106363,1.0,1.02,2.364,240.0,913.3451768454254,78.17463837460828
159897,159897,308.52968999544106,-39.68640481782075,5.384858930577855,-0.6926584323503124,1075,1,24,57993.08775316,2.0,1.03,1.9509999999999998,240.0,687.3255982666664,91.68000325103577
159898,159898,308.53042726038564,-39.71027034321468,5.3848717982785965,-0.6930749643461549,1076,1,24,57992.10106363,1.0,1.02,2.364,240.0,1051.2575344497943,78.34141037146898
159899,159899,308.53040003204563,-39.710278070114796,5.384871323054415,-0.693075099206003,1076,1,24,57993.08775316,2.0,1.03,1.9509999999999998,240.0,790.3708003111017,92.08682975954595
159900,159900,308.53136028766085,-39.727565355802696,5.38488808267656,-0.6933768192599895,1077,1,24,57992.10106363,1.0,1.02,2.364,240.0,178774.8884667487,274.3574517980418
159901,159901,308.53135942809865,-39.72756484290999,5.384888067674371,-0.6933768103083231,1077,1,24,57993.08775316,2.0,1.03,1.9509999999999998,240.0,179213.94990956478,280.79212567384064
159902,159902,308.5313632942255,-39.727565976490716,5.384888135151013,-0.6933768300930391,1077,1,24,57996.12773527,3.0,1.02,2.522,240.0,179297.1065627569,313.5737809827558
159903,159903,308.53276812461877,-39.79120701173265,5.3849126540668095,-0.6944875756973888,1080,1,24,57992.10106363,1.0,1.02,2.364,240.0,2781.628179763502,81.8752870911204
159904,159904,308.5327574958078,-39.7911841972454,5.3849124685590635,-0.694487177509469,1080,1,24,57993.08775316,2.0,1.03,1.9509999999999998,240.0,2822.504545952145,95.26116843863173
159905,159905,308.5327309522688,-39.79118613784377,5.3849120052869095,-0.6944872113793001,1080,1,24,57996.12773527,3.0,1.02,2.522,240.0,2642.2736522342625,163.23414293718184
